gioitinh,khoa,hedt,khoahoc,xl_tt,khuvuc_1.0,khuvuc_2.0,khuvuc_3.0,khuvuc_4.0,khuvuc_5.0,khuvuc_6.0,khuvuc_7.0,xl_av,sotchk,hocky_sx,xl_drl,sotchk_truoc,xl_drl_truoc,xlhk_truoc
1.0,MMT&TT, CQUI,8.0,4.0,0,0,1,0,0,0,0,0.0,18,5,4.0,20.0,4.0,3
1.0,MMT&TT, CQUI,8.0,3.0,0,0,0,0,0,0,1,0.0,19,2,4.0,18.0,4.0,2
1.0,MMT&TT, KSTN,12.0,3.0,0,0,0,1,0,0,0,1.0,20,1,5.0,0.0,0.0,0
0.0,KTTT, CQUI,14.0,2.0,0,0,1,0,0,0,0,0.0,22,5,5.0,7.0,5.0,4
1.0,MMT&TT, CQUI,10.0,2.0,0,0,1,0,0,0,0,0.0,14,7,5.0,16.0,5.0,4
1.0,KTMT, CQUI,9.0,4.0,0,0,0,0,0,1,0,0.0,10,9,3.0,9.0,4.0,4
1.0,MMT&TT, CQUI,11.0,2.0,0,0,1,0,0,0,0,1.0,8,8,2.0,18.0,2.0,3
1.0,CNPM, CLC,13.0,2.0,0,0,0,0,0,1,0,5.0,15,2,4.0,17.0,4.0,3
1.0,KTMT, CQUI,10.0,2.0,0,0,0,0,0,1,0,0.0,21,4,3.0,18.0,1.0,3
1.0,HTTT, CQUI,12.0,3.0,0,0,1,0,0,0,0,2.0,17,7,4.0,17.0,4.0,2
1.0,KTMT, CLC,10.0,1.0,0,0,0,0,0,1,0,0.0,24,2,2.0,15.0,2.0,3
0.0,HTTT, CLC,14.0,1.0,0,0,1,0,0,0,0,0.0,21,4,5.0,17.0,3.0,3
1.0,KTMT, CQUI,8.0,3.0,0,0,0,0,0,1,0,0.0,19,2,5.0,22.0,5.0,3
1.0,CNPM, CLC,9.0,3.0,0,0,0,0,0,0,1,0.0,23,4,2.0,19.0,3.0,2
1.0,MMT&TT, CQUI,9.0,3.0,0,0,0,0,0,0,1,0.0,23,3,3.0,20.0,2.0,1
1.0,HTTT, CLC,13.0,1.0,0,0,0,0,0,1,0,3.0,21,2,5.0,19.0,5.0,3
1.0,KHMT, CQUI,9.0,2.0,0,0,0,0,0,0,1,0.0,24,11,2.0,4.0,4.0,4
0.0,KTTT, CQUI,13.0,2.0,0,0,0,0,0,0,1,2.0,15,6,5.0,19.0,5.0,4
1.0,MMT&TT, CQUI,8.0,2.0,0,0,1,0,0,0,0,0.0,15,6,3.0,15.0,3.0,3
1.0,MMT&TT, CQUI,14.0,2.0,0,0,0,0,0,1,0,0.0,17,2,5.0,14.0,5.0,2
1.0,KHMT, CQUI,11.0,2.0,0,0,0,0,0,0,1,0.0,18,5,4.0,22.0,4.0,3
1.0,MMT&TT, CQUI,14.0,2.0,0,0,0,0,0,1,0,0.0,16,1,5.0,0.0,0.0,0
0.0,KTTT, CQUI,12.0,3.0,0,0,1,0,0,0,0,1.0,20,5,4.0,15.0,5.0,4
1.0,KTTT, CQUI,12.0,3.0,0,0,0,0,0,1,0,4.0,15,4,5.0,16.0,5.0,3
0.0,HTTT, CQUI,12.0,3.0,0,0,0,0,0,1,0,1.0,19,1,4.0,0.0,0.0,0
1.0,KHMT, CQUI,10.0,2.0,0,0,0,1,0,0,0,0.0,16,7,3.0,16.0,5.0,4
1.0,MMT&TT, CQUI,11.0,2.0,0,0,0,0,0,1,0,0.0,21,6,3.0,23.0,3.0,3
0.0,MMT&TT, CQUI,8.0,4.0,0,0,0,0,0,1,0,0.0,22,1,4.0,0.0,0.0,0
1.0,HTTT, CQUI,9.0,4.0,0,0,0,0,0,0,1,0.0,14,7,3.0,24.0,4.0,4
0.0,HTTT, CTTT,14.0,0.0,0,1,0,0,0,0,0,0.0,20,3,4.0,13.0,5.0,3
1.0,MMT&TT, CQUI,10.0,2.0,0,0,0,0,0,0,1,0.0,21,4,3.0,26.0,2.0,3
1.0,CNPM, CLC,14.0,3.0,0,0,0,0,0,1,0,3.0,24,2,5.0,19.0,5.0,4
1.0,KTTT, CLC,14.0,1.0,0,0,0,0,0,1,0,0.0,20,3,5.0,23.0,3.0,1
